Point_ID,Vegetation_Layer,Percent_Cover,Species_Code,Scientific_Name,Common_Name
AA10051,Herb,85,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10051,Herb,10,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10051,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10047,Herb,60,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10047,Herb,35,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10047,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10044,Herb,90,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10044,Herb,5,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10044,Herb,5,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10030,Herb,50,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10030,Herb,30,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10030,Herb,20,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10025,Herb,25,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10025,Herb,25,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10025,Herb,50,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10027,Herb,30,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10027,Herb,60,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10027,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10027,Herb,5,panhem,Panicum hemitomon,Maidencane
AA10022,Herb,30,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10022,Herb,50,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10022,Herb,5,panhem,Panicum hemitomon,Maidencane
AA10022,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10022,Herb,5,pasgem,Paspalidium geminatum,Egyptian Pasaplidium
AA10022,Herb,5,saglan,Sagittaria lancifolia,Bulltongue Arrowhead
AA10038,Herb,85,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10038,Herb,14,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10038,Herb,1,criame,Crinum americanum,Seven Sisters
AA10021,Herb,93,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10021,Herb,2,criame,Crinum americanum,Seven Sisters
AA10021,Herb,5,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10021,Herb,,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10019,Herb,30,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10019,Herb,50,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10019,Herb,5,pasgem,Paspalidium geminatum,Egyptian Pasaplidium
AA10019,Herb,5,panhem,Panicum hemitomon,Maidencane
AA10019,Herb,5,saglan,Sagittaria lancifolia,Bulltongue Arrowhead
AA10019,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10013,Herb,20,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10013,Herb,60,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10013,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10013,Herb,5,pelvir,Peltandra virginica,Green Arrow Arum
AA10013,Herb,10,bleser,Blechnum serrulatum,Toothed Midsorus Fern
AA10017,Herb,50,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10017,Herb,40,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10017,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10017,Herb,5,panhem,Panicum hemitomon,Maidencane
AA10015,Herb,60,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10015,Herb,20,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10015,Herb,5,pasgem,Paspalidium geminatum,Egyptian Pasaplidium
AA10015,Herb,5,saglan,Sagittaria lancifolia,Bulltongue Arrowhead
AA10015,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10015,Herb,5,panhem,Panicum hemitomon,Maidencane
AA10091,Herb,5,panhem,Panicum hemitomon,Maidencane
AA10091,Herb,30,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10091,Herb,5,saglan,Sagittaria lancifolia,Bulltongue Arrowhead
AA10091,Herb,40,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10091,Herb,10,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10091,Herb,10,baccar,Bacopa caroliniana,Blue Waterhyssop
AA10095,Herb,90,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10095,Herb,10,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10095,Herb,,saglan,Sagittaria lancifolia,Bulltongue Arrowhead
AA10088,Herb,10,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10088,Herb,55,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10088,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10088,Herb,40,panhem,Panicum hemitomon,Maidencane
AA10093,Herb,78,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10093,Herb,20,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10093,Herb,2,nymodo,Nymphaea odorata,American White Waterlily
AA10086,Herb,10,typdom,Typha domingensis,Southern Cattail
AA10086,Herb,68,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10086,Herb,5,acrdan,Acrostichum danaeifolium,Giant Leather Fern
AA10086,Herb,10,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10086,Herb,5,nymodo,Nymphaea odorata,American White Waterlily
AA10086,Herb,2,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10082,Herb,78,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10082,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10082,Herb,1,pelvir,Peltandra virginica,Green Arrow Arum
AA10082,Herb,15,typdom,Typha domingensis,Southern Cattail
AA10074,Herb,75,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10074,Herb,20,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10074,Herb,2,pelvir,Peltandra virginica,Green Arrow Arum
AA10074,Herb,3,pasgem,Paspalidium geminatum,Egyptian Pasaplidium
AA10080,Herb,70,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10080,Herb,15,bleser,Blechnum serrulatum,Toothed Midsorus Fern
AA10080,Herb,15,typdom,Typha domingensis,Southern Cattail
AA10083,Herb,10,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10083,Herb,5,panhem,Panicum hemitomon,Maidencane
AA10083,Herb,80,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10083,Herb,2,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10083,Herb,3,typdom,Typha domingensis,Southern Cattail
AA10073,Herb,80,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10073,Herb,10,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10073,Herb,2,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10073,Herb,6,panhem,Panicum hemitomon,Maidencane
AA10073,Herb,2,nymodo,Nymphaea odorata,American White Waterlily
AA10056,Herb,90,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10056,Herb,5,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10056,Herb,2,nymodo,Nymphaea odorata,American White Waterlily
AA10056,Herb,1,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10056,Herb,2,panhem,Panicum hemitomon,Maidencane
AA10065,Herb,70,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10065,Herb,10,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10065,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10065,Herb,10,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10065,Herb,5,pelvir,Peltandra virginica,Green Arrow Arum
AA10058,Herb,90,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10058,Herb,5,nymodo,Nymphaea odorata,American White Waterlily
AA10058,Herb,5,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10059,Herb,80,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10059,Herb,3,pelvir,Peltandra virginica,Green Arrow Arum
AA10059,Herb,5,pasgem,Paspalidium geminatum,Egyptian Pasaplidium
AA10059,Herb,2,saglan,Sagittaria lancifolia,Bulltongue Arrowhead
AA10059,Herb,5,panhem,Panicum hemitomon,Maidencane
AA10059,Herb,5,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10136,Herb,80,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10136,Herb,10,typdom,Typha domingensis,Southern Cattail
AA10136,Herb,5,rhyinu,Rhynchospora inundata,Narrowfruit Horned Beaksedge
AA10136,Herb,5,bleser,Blechnum serrulatum,Toothed Midsorus Fern
AA10064,Herb,95,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10064,Herb,2,pelvir,Peltandra virginica,Green Arrow Arum
AA10064,Herb,3,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10062,Herb,75,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10062,Herb,25,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10063,Herb,70,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10063,Herb,30,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10057,Herb,80,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10057,Herb,15,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10057,Herb,5,pluros,Pluchea rosea,rosy camphorweed
AA10130,Herb,50,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10130,Herb,5,schnig,Schoenus nigricans,Black Bogrush
AA10130,Herb,5,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10130,Herb,30,muhcap,Muhlenbergia capillaris,Hairawn Muhly
AA10130,Herb,5,schrhi,Schizachyrium rhizomatum,Florida Little Bluestem
AA10130,Herb,5,andvir,Andropogon virginicus,Broomsedge Bluestem
AA10125,Herb,75,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10125,Herb,15,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10125,Herb,5,pluros,Pluchea rosea,rosy camphorweed
AA10125,Herb,5,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10119,Herb,20,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10119,Herb,40,muhcap,Muhlenbergia capillaris,Hairawn Muhly
AA10119,Herb,10,schrhi,Schizachyrium rhizomatum,Florida Little Bluestem
AA10119,Herb,25,schnig,Schoenus nigricans,Black Bogrush
AA10119,Herb,5,casfil,Cassytha filiformis,Love Vine
AA10118,Herb,70,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10118,Herb,5,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10118,Herb,20,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10118,Herb,5,schrhi,Schizachyrium rhizomatum,Florida Little Bluestem
AA10121,Herb,85,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10121,Herb,10,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10121,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10123,Herb,91,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10123,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10123,Herb,2,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10123,Herb,2,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10128,Herb,93,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10128,Herb,2,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10128,Herb,5,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10117,Herb,70,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10117,Herb,10,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10117,Herb,20,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10122,Herb,80,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10122,Herb,5,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10122,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10122,Herb,10,bleser,Blechnum serrulatum,Toothed Midsorus Fern
AA10126,Herb,90,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10126,Herb,5,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10126,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10115,Herb,10,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10115,Herb,70,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10115,Herb,5,pasgem,Paspalidium geminatum,Egyptian Pasaplidium
AA10115,Herb,5,panhem,Panicum hemitomon,Maidencane
AA10115,Herb,10,baccar,Bacopa caroliniana,Blue Waterhyssop
AA10137,Herb,20,typdom,Typha domingensis,Southern Cattail
AA10137,Herb,80,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10133,Herb,90,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10133,Herb,5,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10133,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10061,Herb,60,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10061,Herb,20,rhyinu,Rhynchospora inundata,Narrowfruit Horned Beaksedge
AA10061,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10061,Herb,5,saglan,Sagittaria lancifolia,Bulltongue Arrowhead
AA10061,Herb,5,baccar,Bacopa caroliniana,Blue Waterhyssop
AA10061,Herb,5,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10068,Herb,77,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10068,Herb,5,baccar,Bacopa caroliniana,Blue Waterhyssop
AA10068,Herb,10,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10068,Herb,10,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10068,Herb,2,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10081,Herb,65,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10081,Herb,5,pelvir,Peltandra virginica,Green Arrow Arum
AA10081,Herb,10,thagen,Thalia geniculata,Alligatorflag
AA10081,Herb,5,typdom,Typha domingensis,Southern Cattail
AA10081,Herb,15,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10134,Herb,90,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10134,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10134,Herb,5,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10129,Herb,40,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10129,Herb,10,baccar,Bacopa caroliniana,Blue Waterhyssop
AA10129,Herb,50,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10218,Herb,20,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10218,Herb,5,panhem,Panicum hemitomon,Maidencane
AA10218,Herb,70,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10218,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10085,Herb,80,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10085,Herb,20,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10278,Herb,10,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10278,Herb,10,typdom,Typha domingensis,Southern Cattail
AA10278,Herb,50,bleser,Blechnum serrulatum,Toothed Midsorus Fern
AA10278,Herb,30,acrdan,Acrostichum danaeifolium,Giant Leather Fern
AA10279,Herb,40,acrdan,Acrostichum danaeifolium,Giant Leather Fern
AA10279,Herb,60,bleser,Blechnum serrulatum,Toothed Midsorus Fern
AA10216,Herb,80,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10216,Herb,10,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10216,Herb,5,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10216,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10217,Herb,25,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10217,Herb,30,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10217,Herb,5,saglan,Sagittaria lancifolia,Bulltongue Arrowhead
AA10217,Herb,5,panhem,Panicum hemitomon,Maidencane
AA10217,Herb,5,pasgem,Paspalidium geminatum,Egyptian Pasaplidium
AA10217,Herb,30,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10070,Herb,70,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10070,Herb,10,rhyinu,Rhynchospora inundata,Narrowfruit Horned Beaksedge
AA10070,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10070,Herb,10,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10070,Herb,5,eridec,Eriocaulon decangulare,Tenangle Pipewort
AA10069,Herb,80,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10069,Herb,5,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10069,Herb,15,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10264,Herb,60,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10264,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10264,Herb,20,rhyinu,Rhynchospora inundata,Narrowfruit Horned Beaksedge
AA10264,Herb,5,typdom,Typha domingensis,Southern Cattail
AA10264,Herb,10,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10224,Herb,90,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10224,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10224,Herb,5,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10225,Herb,5,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10225,Herb,25,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10225,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10225,Herb,50,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10225,Herb,5,pasgem,Paspalidium geminatum,Egyptian Pasaplidium
AA10225,Herb,10,saglan,Sagittaria lancifolia,Bulltongue Arrowhead
AA10235,Herb,30,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10235,Herb,22,schrhi,Schizachyrium rhizomatum,Florida Little Bluestem
AA10235,Herb,5,casfil,Cassytha filiformis,Love Vine
AA10235,Herb,40,muhcap,Muhlenbergia capillaris,Hairawn Muhly
AA10266,Herb,20,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10266,Herb,30,schnig,Schoenus nigricans,Black Bogrush
AA10266,Herb,5,casfil,Cassytha filiformis,Love Vine
AA10266,Herb,25,muhcap,Muhlenbergia capillaris,Hairawn Muhly
AA10266,Herb,20,schrhi,Schizachyrium rhizomatum,Florida Little Bluestem
AA10107,Herb,80,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10107,Herb,10,rhytra,Rhynchospora tracyi,Tracy's Beaksedge
AA10107,Herb,3,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10107,Herb,2,pelvir,Peltandra virginica,Green Arrow Arum
AA10107,Herb,5,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10103,Herb,90,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10103,Herb,5,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10103,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10111,Herb,10,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10111,Herb,70,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10111,Herb,5,pasgem,Paspalidium geminatum,Egyptian Pasaplidium
AA10111,Herb,10,pelvir,Peltandra virginica,Green Arrow Arum
AA10111,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10110,Herb,78,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10110,Herb,5,pelvir,Peltandra virginica,Green Arrow Arum
AA10110,Herb,2,panhem,Panicum hemitomon,Maidencane
AA10110,Herb,10,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10110,Herb,5,utrpur,Utricularia purpurea,Eastern Purple Bladderwort
AA10108,Herb,40,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10108,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10108,Herb,20,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10108,Herb,20,pasgem,Paspalidium geminatum,Egyptian Pasaplidium
AA10108,Herb,15,baccar,Bacopa caroliniana,Blue Waterhyssop
AA10099,Herb,10,panhem,Panicum hemitomon,Maidencane
AA10099,Herb,15,typdom,Typha domingensis,Southern Cattail
AA10099,Herb,30,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10099,Herb,5,baccar,Bacopa caroliniana,Blue Waterhyssop
AA10099,Herb,28,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10099,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10099,Herb,3,criame,Crinum americanum,Seven Sisters
AA10099,Herb,5,poncor,Pontederia cordata,Pickerelweed
AA10177,Herb,90,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10177,Herb,5,pelvir,Peltandra virginica,Green Arrow Arum
AA10177,Herb,2,criame,Crinum americanum,Seven Sisters
AA10177,Herb,,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10229,Herb,40,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10229,Herb,25,typdom,Typha domingensis,Southern Cattail
AA10229,Herb,25,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10229,Herb,5,criame,Crinum americanum,Seven Sisters
AA10229,Herb,5,rhyinu,Rhynchospora inundata,Narrowfruit Horned Beaksedge
AA10169,Herb,85,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10169,Herb,5,criame,Crinum americanum,Seven Sisters
AA10169,Herb,5,pelvir,Peltandra virginica,Green Arrow Arum
AA10169,Herb,3,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10169,Herb,2,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10171,Herb,90,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
AA10171,Herb,5,elecel,Eleocharis cellulosa,Gulf Coast Spikerush
AA10171,Herb,5,utrfol,Utricularia foliosa,Leafy Bladderwort
AA10100,Herb,50,clajam,Cladium jamaicense,Jamaica Swamp Sawgrass
