Point_ID,Visit_Date,Transport_Type,Veg_Code,Veg_Code_Name,Overall_Veg_Cover,Overall_Canopy_Height,Percentage_Tree,Percentage_Shrub,Percentage_Herb,Canopy_Tree,Canopy_Shrub,Canopy_Herb,Cattail,Exotics,Cell_Shape,Notes,decimalLongitude,decimalLatitude
AA10001,1/26/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,40,1,0,2,98,0,1,1,none,,50m x 50m grid cell,Small edge of tree island.,-80.7735988,25.74728296
AA10004,1/26/2010 0:00,helicopter,MFGcSD,Short Sawgrass Marsh-Dense,80,1,0,0,100,0,0,1,none,,50m x 50m grid cell,,-80.69681722,25.74940088
AA10003,1/26/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,40,1,0,0,100,0,0,1,none,,50m x 50m grid cell,,-80.69432793,25.74804116
AA10051,1/26/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,90,2,2,0,98,5,0,2,none,,50m x 50m grid cell,NW corner has melqui.,-80.68586571,25.74305661
AA10047,1/26/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,50,1,0,0,100,0,0,1,none,,50m x 50m grid cell,MFGe is one third of NW.,-80.70134257,25.73405905
AA10044,1/26/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,40,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Lots of periphyton.,-80.73229538,25.71334989
AA10030,1/26/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,30,1,0,10,90,0,4,1,none,,50m x 50m grid cell,Lots of periphyton. Tree island in NE corner,-80.74629375,25.69305703
AA10025,1/26/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,15,1,0,2,98,0,0,1,none,,50m x 50m grid cell,Borderline MFO with only 15perc veg. Lots of periphyton.,-80.75827074,25.68449869
AA10027,1/26/2010 0:00,helicopter,MFGe,Spikerush Marsh,30,1,0,0,100,0,0,1,none,,50m x 50m grid cell,,-80.72986451,25.68625489
AA10022,1/26/2010 0:00,helicopter,MFGe,Spikerush Marsh,30,1,0,0,100,0,0,1,none,,50m x 50m grid cell,MFGe with clajam patches. Some periphyton.,-80.72090581,25.68172293
AA10038,1/26/2010 0:00,helicopter,MFGcSD,Short Sawgrass Marsh-Dense,90,1,0,1,99,0,1,1,none,,50m x 50m grid cell,,-80.68796115,25.70423159
AA10021,1/26/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,90,2,0,0,100,0,0,2,none,,50m x 50m grid cell,,-80.68802115,25.68120481
AA10019,1/26/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,35,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Lots of periphyton.,-80.69899779,25.67535825
AA10013,1/26/2010 0:00,helicopter,MFGcTS,Tall Sawgrass Marsh-Sparse,80,2,5,3,92,5,2,2,none,,50m x 50m grid cell,Gator trail still visible.,-80.69752129,25.66813105
AA10017,1/26/2010 0:00,helicopter,MFGX,Mixed Graminoid Freshwater Marsh,25,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Mixed clajam elecel. Lots of periphyton.,-80.73836404,25.67317659
AA10015,1/26/2010 0:00,helicopter,MFGe,Spikerush Marsh,50,1,0,1,99,0,1,1,none,,50m x 50m grid cell,Some periphyton.,-80.73836798,25.67137056
AA10091,1/26/2010 0:00,helicopter,MFGX,Mixed Graminoid Freshwater Marsh,50,1,0,2,98,0,1,1,none,,50m x 50m grid cell,Mixed clajam elecel.,-80.75885167,25.64341211
AA10095,2/5/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,85,2,0,0,100,0,0,2,none,,50m x 50m grid cell,,-80.74539112,25.64880741
AA10088,2/5/2010 0:00,helicopter,MFGX,Mixed Graminoid Freshwater Marsh,40,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Mixed elecel panhem. Some periphyton.,-80.73894385,25.63570217
AA10093,2/5/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,75,2,0,5,95,0,3,2,none,,50m x 50m grid cell,,-80.69360249,25.64193527
AA10086,2/5/2010 0:00,helicopter,MFGcTS,Tall Sawgrass Marsh-Sparse,70,2.5,0,5,95,0,2,3,below threshold,,50m x 50m grid cell,,-80.68217,25.63288062
AA10082,2/5/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,80,3,0,0,100,0,0,3,MFGtS,,50m x 50m grid cell,Some periphyton.,-80.68269909,25.62114246
AA10074,2/5/2010 0:00,helicopter,MFGr,Beakrush Marsh,40,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Lots of periphyton.,-80.68671855,25.60760575
AA10080,2/5/2010 0:00,helicopter,CSmGc,Wax Myrtle Scrub-Sawgrass Marsh,100,3,0,10,90,0,3,3,MFGtS,,50m x 50m grid cell,,-80.72453785,25.61896974
AA10083,2/5/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,90,2,0,2,98,0,2,2,below threshold,,50m x 50m grid cell,Small patch of MFGe. Lots of periphyton.,-80.73996446,25.62441616
AA10073,2/5/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,70,2,0,0,100,0,0,2,none,,50m x 50m grid cell,MFGe patch.,-80.73751375,25.60635123
AA10056,2/5/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,90,2,0,0,100,0,0,2,none,,50m x 50m grid cell,,-80.75002466,25.57657311
AA10065,2/5/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,85,2,0,1,99,0,2,2,none,,50m x 50m grid cell,Small patch of MFGe and some rhytra.,-80.74604007,25.57746929
AA10058,2/5/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,90,2,0,0,100,0,0,2,none,,50m x 50m grid cell,Some periphyton.,-80.74156533,25.57475235
AA10059,2/5/2010 0:00,helicopter,MFGe,Spikerush Marsh,30,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Lots of periphyton.,-80.73160978,25.57428292
AA10136,2/5/2010 0:00,helicopter,CSaGc,Pond Apple Scrub-Sawgrass Marsh,90,2.5,0,35,65,0,3,2,below threshold,,50m x 50m grid cell,,-80.73312627,25.56390081
AA10064,2/5/2010 0:00,helicopter,MFGcSD,Short Sawgrass Marsh-Dense,70,1,0,0,100,0,0,1,none,,50m x 50m grid cell,,-80.71517619,25.57650943
AA10062,2/5/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,50,1,0,0,100,0,0,1,none,,50m x 50m grid cell,,-80.70074238,25.57512608
AA10063,2/5/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,50,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Rocky. Lots of periphyton.,-80.69825324,25.57512097
AA10057,2/5/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,30,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Rocky. Lots of periphyton.,-80.6758583,25.57236399
AA10130,2/5/2010 0:00,helicopter,MFGPc,Sawgrass Prairie,50,1,0,0,100,0,0,1,none,,50m x 50m grid cell,,-80.68040813,25.54618607
AA10125,2/5/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,50,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Not a lot of periphyton.,-80.70281167,25.54352414
AA10119,2/5/2010 0:00,helicopter,MFGPX,Mixed Graminoid Freshwater Prairie,60,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Mixed muhcap schnig prairie. Dry prairie.,-80.68294297,25.5285824
AA10118,2/5/2010 0:00,helicopter,MFGPc,Sawgrass Prairie,50,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Lots of periphyton. There are prairie pockets but this is a marsh.,-80.70734574,25.52095735
AA10121,2/5/2010 0:00,helicopter,MFGcSD,Short Sawgrass Marsh-Dense,60,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Some periphyton.,-80.71678539,25.52729716
AA10123,2/5/2010 0:00,helicopter,MFGcSD,Short Sawgrass Marsh-Dense,65,1,0,0,100,0,0,1,none,,50m x 50m grid cell,,-80.72323284,25.53679138
AA10128,2/5/2010 0:00,helicopter,MFGcSD,Short Sawgrass Marsh-Dense,75,1,0,0,100,0,0,1,none,,50m x 50m grid cell,,-80.73068479,25.54267501
AA10117,2/5/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,90,2,0,0,100,0,0,2,none,,50m x 50m grid cell,Found 70perc MFGc 30perc MFGe.,-80.76904976,25.52061606
AA10122,2/5/2010 0:00,helicopter,MFGcSD,Short Sawgrass Marsh-Dense,90,1.5,0,5,95,0,3,2,none,,50m x 50m grid cell,,-80.79888958,25.5305935
AA10126,2/5/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,90,2,0,0,100,0,0,2,none,,50m x 50m grid cell,,-80.81181293,25.54054411
AA10115,2/5/2010 0:00,helicopter,MFGe,Spikerush Marsh,50,1,0,0,100,0,0,1,none,,50m x 50m grid cell,MFGcSD acceptable. Split cell MFGe on SE and MFGcSD on NW. Classified MFGe.,-80.85463875,25.52027441
AA10137,2/5/2010 0:00,helicopter,SSs,Willow Shrubland,90,3,0,60,40,0,3,2,below threshold,,50m x 50m grid cell,SSs because salcar 60perc of shrub layer. SSB acceptable with 60perc salcar 20myrcer 10anngla 10ilecas.,-80.86055939,25.56407766
AA10133,2/5/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,90,2,0,0,100,0,0,2,none,,50m x 50m grid cell,,-80.79786249,25.54955591
AA10061,2/5/2010 0:00,helicopter,MFGcTS,Tall Sawgrass Marsh-Sparse,70,2,0,0,100,0,0,2,none,,50m x 50m grid cell,,-80.80926945,25.57530778
AA10068,2/5/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,80,2,0,0,100,0,0,2,none,,50m x 50m grid cell,Rocky.,-80.81572607,25.58524944
AA10081,2/5/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,90,2,0,10,90,0,2,2,below threshold,,50m x 50m grid cell,,-80.85700833,25.62006241
AA10134,2/5/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,80,2,0,0,100,0,0,2,none,,50m x 50m grid cell,,-80.75505262,25.55219967
AA10129,2/5/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,40,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Mixed clajam elecel. Split cell sparse MFGX on SE and smaller MFGcSD on NW. Vegetation for the entire cell was recorded. It appears that the sawgrass marsh is the dominant habitat,-80.75606637,25.543171
AA10218,2/12/2010 0:00,helicopter,MFGcSD,Short Sawgrass Marsh-Dense,80,1,0,5,95,0,2,1,none,,50m x 50m grid cell,Edge of tree island on SE.,-80.71903438,25.62979558
AA10085,2/12/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,50,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Lots of periphyton.,-80.83408511,25.63042303
AA10278,2/12/2010 0:00,helicopter,FHS,Tropical Hardwood Hammock,90,12,60,20,20,12,4,2,below threshold,,50m x 50m grid cell,,-80.83360894,25.61461945
AA10279,2/12/2010 0:00,helicopter,FSB,Bayhead Forest,100,10,70,10,20,10,4,2,none,,50m x 50m grid cell,Exotic schter below threshold.,-80.85408432,25.56723199
AA10216,2/12/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,70,2,0,0,100,0,0,2,none,,50m x 50m grid cell,Rocky.,-80.82368676,25.58887139
AA10217,2/12/2010 0:00,helicopter,MFGX,Mixed Graminoid Freshwater Marsh,40,1,0,15,85,0,4,1,none,,50m x 50m grid cell,Mixed clajam elecel rhytra. MFGXcr acceptable. Small tree island in cell.,-80.79181641,25.59199012
AA10070,2/12/2010 0:00,helicopter,MFGcSD,Short Sawgrass Marsh-Dense,80,2,0,10,90,0,2,1.5,none,,50m x 50m grid cell,herb height overestimated. Sawgrass 1 to 1.5m height,-80.79182266,25.58837799
AA10069,2/12/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,85,2,0,10,90,0,2,2,none,,50m x 50m grid cell,,-80.78087328,25.58610442
AA10264,2/12/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,90,2,0,5,95,0,2,2,below threshold,,50m x 50m grid cell,,-80.77093895,25.57389825
AA10224,2/12/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,90,2,0,0,100,0,0,2,none,,50m x 50m grid cell,Some periphyton.,-80.74309638,25.55714588
AA10225,2/12/2010 0:00,helicopter,MFGr,Beakrush Marsh,30,1,0,5,95,0,1,1,none,,50m x 50m grid cell,Lots of periphyton. Area with clajam on N.,-80.72865335,25.56073196
AA10235,2/12/2010 0:00,helicopter,MFGPX,Mixed Graminoid Freshwater Prairie,70,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Mixed clajam muhcap prairie.,-80.70188436,25.51597964
AA10266,2/12/2010 0:00,helicopter,MFGPX,Mixed Graminoid Freshwater Prairie,70,1,0,2,98,0,1,1,none,,50m x 50m grid cell,Mixed clajam muhcap schnig schrhi prairie.,-80.68642759,25.52813838
AA10107,2/12/2010 0:00,helicopter,MFGcSD,Short Sawgrass Marsh-Dense,70,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Lots of periphyton.,-80.75962583,25.5052492
AA10103,2/12/2010 0:00,helicopter,MFGcSD,Short Sawgrass Marsh-Dense,80,1.5,0,0,100,0,0,2,none,,50m x 50m grid cell,Patch of elecel pelvir poncor.,-80.77755399,25.49624706
AA10111,2/12/2010 0:00,helicopter,MFGe,Spikerush Marsh,40,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Round clajam patches.,-80.78350059,25.50935009
AA10110,2/12/2010 0:00,helicopter,MFGcSD,Short Sawgrass Marsh-Dense,70,1.5,0,0,100,0,0,2,none,,50m x 50m grid cell,May have been burned.,-80.78748186,25.50890439
AA10108,2/12/2010 0:00,helicopter,MFGe,Spikerush Marsh,40,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Some periphyton.,-80.85813951,25.50537761
AA10099,2/12/2010 0:00,helicopter,MFGX,Mixed Graminoid Freshwater Marsh,60,1,0,0,100,0,0,1,below threshold,,50m x 50m grid cell,Mixed clajam elecel.,-80.86115436,25.47964364
AA10177,2/12/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,90,2,0,0,100,0,0,2,none,,50m x 50m grid cell,,-80.85619125,25.47015684
AA10229,2/12/2010 0:00,helicopter,MFGX,Mixed Graminoid Freshwater Marsh,60,2,0,0,100,0,0,2,MFGtS,,50m x 50m grid cell,Mixed clajam elecel. Small piece of tributary on N with rhiman salcar chrica.,-80.86017724,25.46429087
AA10169,2/12/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,90,2,0,0,100,0,0,2,none,,50m x 50m grid cell,,-80.83134265,25.45477854
AA10171,2/12/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,70,2,0,0,100,0,0,2,none,,50m x 50m grid cell,Some periphyton.,-80.80547464,25.45881027
AA10100,2/12/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,40,1.5,0,0,100,0,0,2,none,,50m x 50m grid cell,Lots of periphyton.,-80.7815626,25.48044979
AA10097,2/12/2010 0:00,helicopter,MFGP,Graminoid Freshwater Prairie,50,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Mixed clajam muhcap prairie. Rocky. May be edge of prairie.,-80.74824447,25.47542965
AA10269,2/12/2010 0:00,helicopter,MFGcTS,Tall Sawgrass Marsh-Sparse,70,3,0,0,100,0,0,3,MFGtS,,50m x 50m grid cell,Mixed clajam typdom.,-80.78109867,25.46193662
AA10167,2/12/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,50,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Lots of periphyton.,-80.78609626,25.44839825
AA10157,2/12/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,50,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Lots of periphyton.,-80.80899386,25.43488403
AA10164,2/12/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,90,2,0,0,100,0,0,2,none,,50m x 50m grid cell,,-80.81942341,25.44347622
AA10155,2/12/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,80,2,0,0,100,0,0,2,none,,50m x 50m grid cell,Some periphyton.,-80.83336741,25.42904385
AA10151,2/12/2010 0:00,helicopter,MFGcTS,Tall Sawgrass Marsh-Sparse,70,2,0,0,100,0,0,2,MFGtS,,50m x 50m grid cell,Small MFGe on NW.,-80.84530845,25.42318704
AA10268,2/12/2010 0:00,helicopter,SSy,Cocoplum Shrubland,100,8,60,35,5,8,4,1,none,,50m x 50m grid cell,SSy because chrica 67perc of cell. Borderline FSB with 28perc bayhead spp. Tree height but chrica is always shrubland. MFGc on N.,-80.84928779,25.42183659
AA10158,2/12/2010 0:00,helicopter,MFGcTS,Tall Sawgrass Marsh-Sparse,45,2,0,0,100,0,0,2,none,,50m x 50m grid cell,Some periphyton.,-80.86567944,25.43630137
AA10142,2/12/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,90,2,0,0,100,0,0,2,none,,50m x 50m grid cell,Not a lot of periphyton.,-80.86373608,25.39566203
AA10141,2/12/2010 0:00,helicopter,MFGcTD,Tall Sawgrass Marsh-Dense,70,2,0,0,100,0,0,2,below threshold,,50m x 50m grid cell,Some periphyton.,-80.8403768,25.39247782
AA10231,2/12/2010 0:00,helicopter,FSB,Bayhead Forest,100,8,60,35,5,8,4,1,none,,50m x 50m grid cell,Not enough rhiman for FSBT. MFGc on NW.,-80.8498381,25.37894189
AA10205,2/12/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,50,1,0,5,95,0,2,1,none,,50m x 50m grid cell,Lots of periphyton.,-80.82846153,25.38207923
AA10199,2/19/2010 0:00,helicopter,CMrGc,Red Mangrove Scrub-Sawgrass Marsh,40,2,0,60,40,0,2,1,none,,50m x 50m grid cell,shrub and herb cover adjusted to equal 100,-80.85086595,25.35139952
AA10194,2/19/2010 0:00,helicopter,CMrO,Red Mangrove Scrub-Open Marsh,50,2,0,83,17,0,2,1,none,,50m x 50m grid cell,,-80.8503857,25.33785305
AA10282,2/19/2010 0:00,helicopter,FHS,Tropical Hardwood Hammock,90,19,80,15,5,19,3,2,none,,50m x 50m grid cell,"Found 60perc temperate 40 tropical trees. FHT, FHq, and FHg are also acceptable. Went with FHS due to lack of other tempereate species.",-80.83002778,25.32834878
AA10271,2/19/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,50,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Lots of periphyton.,-80.82606484,25.32021655
AA10270,2/19/2010 0:00,helicopter,CSBTG,Transitional Bayhead Swamp Scrub-Graminoid Marsh,40,2,0,30,70,0,2,1,none,,50m x 50m grid cell,Edge of forest on W is mettox serrep chrica. MFGX clajam elecel understory.,-80.81764045,25.30620881
AA10187,2/19/2010 0:00,helicopter,MFGcSS,Short Sawgrass Marsh-Sparse,60,1,0,5,95,0,3,1,none,,50m x 50m grid cell,,-80.81165947,25.31929578
AA10283,2/19/2010 0:00,helicopter,FHS,Tropical Hardwood Hammock,95,14,70,25,5,14,4,1,none,,50m x 50m grid cell,MFGPc on N.,-80.80768856,25.32239783
AA10260,2/19/2010 0:00,helicopter,MFGPX,Mixed Graminoid Freshwater Prairie,60,1,5,15,80,15,2,1,none,,50m x 50m grid cell,Mixed clajam muhcap schnig schrhi prairie. Rocky.,-80.79919673,25.34546822
AA10250,2/19/2010 0:00,helicopter,CStGcS,Cypress Scrub-Short Sawgrass Marsh,90,2,0,16,84,0,2,2,none,,50m x 50m grid cell,erigig gives the herb height 2m. The sawgrass is less than 2m in height. Helpin and erigig are the only prairie species.,-80.76594907,25.32870741
AA10182,2/19/2010 0:00,helicopter,MFGPm,Muhly Grass Prairie,65,1,0,10,90,0,4,1,none,,50m x 50m grid cell,,-80.75553327,25.31424652
AA10181,2/19/2010 0:00,helicopter,MFGPX,Mixed Graminoid Freshwater Prairie,70,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Mixed muhcap schnig schrhi prairie.,-80.73122001,25.30156128
AA10189,2/19/2010 0:00,helicopter,CStGPc,Cypress Scrub-Sawgrass Prairie ,90,3,10,20,70,10,3,1,none,,50m x 50m grid cell,Tree island in NW corner of cell where upland species are. Dominant habitat is surrounding cypress scrub with sawgrass.,-80.7306624,25.32910373
AA10259,2/19/2010 0:00,helicopter,MFGPX,Mixed Graminoid Freshwater Prairie,70,1,0,0,100,0,0,1,none,,50m x 50m grid cell,Mixed muhcap schrhi prairie.,-80.73708104,25.34762809
AA10200,2/19/2010 0:00,helicopter,MFGPX,Mixed Graminoid Freshwater Prairie,50,1,0,5,95,0,2,1,none,,50m x 50m grid cell,Mixed muhcap schnig prairie.,-80.765874,25.36167412
AA10281,2/19/2010 0:00,helicopter,WUpRSn,Pine Rockland-Saw Palmetto,100,18,20,70,10,18,2,2,none,,50m x 50m grid cell,FHq on N.,-80.773851,25.36531202
AA10280,2/19/2010 0:00,helicopter,FHS,Tropical Hardwood Hammock,100,10,60,30,10,10,4,1,none,EsS,50m x 50m grid cell,,-80.77280502,25.37432502
AA10204,2/19/2010 0:00,helicopter,MFGPX,Mixed Graminoid Freshwater Prairie,90,10,10,10,80,10,2,1,none,,50m x 50m grid cell,Mixed clajam muhcap prairie. Pine woodland on W and E edges.,-80.77180945,25.37658392
AA10202,2/19/2010 0:00,helicopter,MFGPX,Mixed Graminoid Freshwater Prairie,30,1,5,10,85,10,3,1,none,,50m x 50m grid cell,Mixed pasmon schrhi prairie. Rocky.,-80.80760882,25.36760448
AA10206,2/19/2010 0:00,helicopter,MFGPX,Mixed Graminoid Freshwater Prairie,60,1,10,15,75,10,4,1,none,,50m x 50m grid cell,Mixed clajam muhcap prairie. Small hardwood patch on S.,-80.78770444,25.38202607
AA10139,2/19/2010 0:00,helicopter,WUpRX,Pine Rockland-Mixed,80,12,20,30,50,12,2,1,none,,50m x 50m grid cell,,-80.78122994,25.38924105
AA10145,2/19/2010 0:00,helicopter,CStGPc,Cypress Scrub-Sawgrass Prairie ,80,4,0,20,80,0,4,1,none,,50m x 50m grid cell,Small piece of tree island on SE.,-80.7866683,25.40595558
AA10267,2/19/2010 0:00,helicopter,CStGcS,Cypress Scrub-Short Sawgrass Marsh,75,3,0,30,70,0,3,1,none,,50m x 50m grid cell,,-80.78416334,25.41678859
AA10154,2/19/2010 0:00,helicopter,CUWGPc,Upland Hardwood Scrub-Sawgrass Prairie,70,3,10,40,50,10,3,1,none,,50m x 50m grid cell,Rocky.,-80.74884309,25.42666605
AA10150,2/19/2010 0:00,helicopter,CUWGPX,Upland Hardwood Scrub-Mixed Graminoid Prairie,75,3,10,40,50,10,3,1,none,,50m x 50m grid cell,,-80.74089918,25.42123395
AA10285,2/19/2010 0:00,helicopter,FHS,Tropical Hardwood Hammock,90,12,80,20,0,12,4,0,none,,50m x 50m grid cell,,-80.73493366,25.41533885
AA10143,2/19/2010 0:00,helicopter,WUpRX,Pine Rockland-Mixed,90,13,30,30,40,13,2,1,none,,50m x 50m grid cell,,-80.72005763,25.40358622
AA10207,2/19/2010 0:00,helicopter,MFGPX,Mixed Graminoid Freshwater Prairie,80,1,0,10,90,0,2,1,none,,50m x 50m grid cell,Mixed clajam muhcap prairie.,-80.72507591,25.38282543
AA10146,2/19/2010 0:00,helicopter,WUpRX,Pine Rockland-Mixed,60,12,30,40,30,12,2,1,none,,50m x 50m grid cell,,-80.70263953,25.41122797
AA10144,2/19/2010 0:00,helicopter,WUpRX,Pine Rockland-Mixed,70,13,30,40,30,13,2,1,none,,50m x 50m grid cell,,-80.6932119,25.40398419
AA10286,2/19/2010 0:00,helicopter,FHS,Tropical Hardwood Hammock,90,13,100,0,0,13,0,0,none,,50m x 50m grid cell,Less than 50% quevir cover. Quevir is a component of FHS.,-80.67931407,25.40488233
AA10140,2/19/2010 0:00,helicopter,WUpRSn,Pine Rockland-Saw Palmetto,100,6,60,40,0,6,4,0,none,EsD,50m x 50m grid cell,Split cell WUpRSn on SE and EsD on NW. Classified WUpRSn but recorded vegetation data for EsD. Exotic schter 60perc of cell.,-80.65795314,25.39081216
AA10209,2/19/2010 0:00,helicopter,EsD,Brazilian Pepper Dominant ,100,4,30,70,0,6,4,0,none,EsD,50m x 50m grid cell,Exotic schter 83perc of cell. Found 83perc schter 17myrcer shrubland with emergent trees.,-80.63361868,25.38352916
